word,rarity,pos,Definition,Sentence
jay,2,noun,"Any of the numerous species of birds belonging to several genera within the family Corvidae, including Garrulus, Cyanocitta, Aphelocoma, Perisoreus, Cyanocorax, Gymnorhinus, Cyanolyca, Ptilostomus, and Calocitta, allied to the crows, but smaller, more graceful in form, often handsomely coloured, usually having a crest, and often noisy.",
jet,2,noun,"A collimated stream, spurt or flow of liquid or gas from a pressurized container, an engine, etc.",
jib,3,noun,A triangular staysail set forward of the foremast. In a sloop (see image) the basic jib reaches back roughly to the level of the mast.,Release the line by pulling down and unfurl the jib by pulling on the two jibsheets.
jig,3,noun,"A light, brisk musical movement; a gigue.",
job,1,noun,A task.,I've got a job for you: could you wash the dishes?
jog,3,noun,"An energetic trot, slower than a run, often used as a form of exercise.",
jot,3,noun,The smallest letter or stroke of any writing; an iota.,
joy,2,noun,"A feeling of extreme happiness or cheerfulness, especially related to the acquisition or expectation of something good.",It is his joy to walk in the rain.
jug,3,noun,"A serving vessel or container, typically circular in cross-section and typically higher than it is wide, with a relatively small mouth or spout, an ear handle and often a stopper or top.",
jut,3,verb,To stick out.,
keg,3,noun,"A round, traditionally wooden container of lesser capacity than a barrel, often used to store beer.","He bore on his shoulder a stout keg, that seemed full of liquor, and made signs for Rip to approach and assist him with his load."
ken,2,verb,"To know, perceive or understand.","Ah thought he wis being harsh, flippant and show-oafy, until ah got sae far in. Now ah ken precisely what the cunt meant."
key,1,noun,An object designed to open and close a lock.,
kid,2,noun,"A child, adolescent, or (loosely) a young adult.",She's a kid. It's normal for her to have imaginary friends.
kin,3,noun,Race; family; breed; kind.,
kip,3,noun,"The untanned hide of a young or small beast, such as a calf, lamb, or young goat.",
kit,2,noun,"A circular wooden vessel, made of hooped staves.",
lab,2,noun,A laboratory.,"A man dressed as a lab tech, his blue scrubs startlingly pale against the vivid red and black chaos, moved into sight from behind the SUV. He carried an assault rifle."
lac,3,noun,"A resinous substance or lacquer produced mainly on the banyan tree by the female of Kerria lacca, a scale insect.","At the turn of the century, the ever-expanding electrical industry was running low on shellac, a resin secreted by the female lac bug which could be used as an insulating material."
lad,3,noun,A boy or young man.,"The lad, his son, had obtained a Jew's-harp, and learned to play upon it the profane airs of ""Yankee Doodle,"" ""Hail Columbia,"" ""St. Patrick's Day,"" and ""Auld Lang Syne."""
lag,3,adj,Late.,"Some tardy cripple bore the countermand, / That came too lag to see him buried."
lam,3,verb,To beat or thrash.,
lap,2,noun,The loose part of a coat; the lower part of a garment that plays loosely; a skirt; an apron.,
lav,4,noun,An informal word for a lavatory or toilet.,
law,1,noun,"The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities.","In theory, entrapment is against the law."
lax,3,noun,A salmon.,
lay,2,verb,"To place down in a position of rest, or in a horizontal position.","Now I lay me down to sleep, / I pray the Lord my Soul to keep. / If I should die before I ’wake, / I pray the Lord my Soul to take."
lea,3,noun,"An open field, meadow, pasture.","The curfew tolls the knell of parting day, The lowing herd wind slowly o'er the lea, The plowman homeward plods his weary way, And leaves the world to darkness and to me."
led,1,verb,simple past and past participle of lead,
lee,2,noun,"A protected cove or harbor, out of the wind.",
leg,2,noun,A limb or appendage that an animal uses for support or locomotion on land.,
lei,3,noun,A garland of flowers in Hawaii.,
let,1,verb,"To allow to, not to prevent (+ infinitive, but usually without to).","After he knocked for hours, I decided to let him come in."
lib,3,noun,liberal,
lid,3,noun,The top or cover of a container.,
lie,2,verb,To rest in a horizontal position on a surface.,
lip,2,noun,Either of the two fleshy protrusions around the opening of the mouth.,
lit,2,verb,simple past and past participle of light (“illuminate; start a fire; etc”),
lob,3,verb,To throw or hit a ball into the air in a high arc.,
log,2,noun,"The trunk of a dead tree, cleared of branches.",They walked across the stream on a fallen log.
loo,3,noun,A lavatory: a room used for urination and defecation.,
lop,3,verb,"To cut off as the top or extreme part of anything, especially to prune a small limb off a shrub or tree, or sometimes to behead someone.",
lot,1,noun,A large quantity or number; a great deal.,"I filled my dreener in no time, and then it come to me that 'twouldn't be a bad idee to get a lot more, take 'em with me to Wellmouth, and peddle 'em out."
low,1,adj,"Situated close to, or even below, the ground or another normal reference plane; not high or lofty.",Narrative friezes in low relief were characteristic of Ionic architecture.
lox,4,noun,Salmon that is cured in brine and then smoked at a low temperature so that the flesh remains uncooked.,
lug,3,noun,The act of hauling or dragging.,
lux,3,noun,"In the International System of Units, the derived unit of illuminance or illumination; one lumen per square metre. Symbol: lx","Some volunteers slept in ambient light of about 100 lux and some in only 3 lux, which is close to total darkness."
lye,3,noun,An alkaline liquid made by leaching ashes (usually wood ashes).,
mad,2,adj,"Insane; crazy, mentally deranged.",You want to spend a thousand pounds on a pair of shoes? Are you mad?
mag,4,noun,An informal word for a magazine.,She picked up a gardening mag at the shop.
mam,3,noun,A woman's breast.,
man,1,noun,An adult male human.,"“I want you to know that I hate you, that I think you are a cur, and that I'll never, never speak to you again. Oh, I don't dare to say what I think of you, you — man!”"
map,2,noun,"A visual representation of an area, whether real or imaginary, showing the relative positions of places and other features.","Anna, it is a map."
mar,2,verb,To spoil; to ruin; to scathe; to damage.,
mas,4,noun,A country cottage or farmstead in Occitan-speaking territories.,
mat,3,noun,"A flat piece of coarse material used for wiping one’s feet, or as a decorative or protective floor covering.",Wipe your feet on the mat before coming in.
maw,3,noun,"The upper digestive tract (where food enters the body), especially the mouth and jaws of a fearsome and ravenous creature; craw.","“I saw the opening maw of hell, With endless pains and sorrows there; Which none but they that feel can tell— Oh, I was plunging to despair."
max,2,adj,Maximum; maximal.,
may,1,verb,To be able to go.,
med,4,noun,"Medications, especially prescribed psychoactive medications.",
meg,3,noun,a nutmeg,
meh,4,adj,Mediocre; lackluster; unexceptional; uninspiring.,"They redeemed themselves with this show. The first song or two was meh, but they were on fire after that."
men,1,noun,plural of man,
met,1,verb,simple past and past participle of meet,
mew,3,noun,"A cage for hawks, especially while moulting.",
mic,4,noun,Alternative form of mike (“microphone”).,
mid,2,adj,Occupying a middle position; middle.,"Passing through the silent village, he heard the clock tell the mid hour of night."
mil,3,noun,"An angular mil, a unit of angular measurement equal to ¹⁄₆₄₀₀ of a complete circle. At 1000 metres one mil subtends about one metre (0.98 m). Also ¹⁄₆₀₀₀ and ¹⁄₆₃₀₀ are used in other countries.",
mix,2,verb,To stir together.,Mix the eggs and milk with the flour until the consistency is smooth.
mob,2,noun,A large or disorderly group of people; especially one bent on riotous or destructive action.,"Had every Athenian citizen been a Socrates, every Athenian assembly would still have been a mob."
mod,3,noun,"An unconventionally modern style of fashionable dress originating in England in the 1960s, characterized by ankle-length black trenchcoats and sunglasses.",
moi,3,pron,Me.,Don't you be so cheeky. — Cheeky? Moi?
mom,1,noun,Mother.,"At a very early age, Knowles says she was taught not to draw any attention to herself. “Pretty is as pretty does,” her mom used to say."
moo,3,noun,The characteristic lowing sound made by cattle.,
mop,3,noun,"An implement for washing floors or similar, made of a piece of cloth, or a collection of thrums, or coarse yarn, fastened to a handle.",
mot,3,noun,A witty remark; a witticism; a bon mot.,"‘He comes from Montreal, in Canada.’ ‘Why?’ she said, repeating Dr Johnson's mot with a forced sneer."
mow,3,verb,To cut down grass or crops.,
mud,2,noun,A mixture of water and soil or fine grained sediment.,
mug,3,noun,"A large cup for beverages, usually having a handle and used without a saucer.",
